Dataset,Method,File,Accuracy,BalancedAcc,F1,HarmonicMean_PI,Interpretability,kendall_tau,MCC,PR_AUC,Precision,PredictiveScore,Recall,ROC_AUC,separability(1-N3)
car-eval-4,GaussianCopula,GaussianCopula.csv,0.9828 ± 0.0000,0.9850 ± 0.0000,0.9804 ± 0.0000,0.8955 ± 0.0000,0.8214 ± 0.0000,1.0000 ± 0.0000,0.9657 ± 0.0000,0.9856 ± 0.0000,0.9615 ± 0.0000,0.9842 ± 0.0000,1.0000 ± 0.0000,0.9934 ± 0.0000,0.9678 ± 0.0000
car-eval-4,K-IPO,K-IPO.csv,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0196 ± 0.3181,8.2489 ± 24.5079,0.9879 ± 0.0402,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,0.9881 ± 0.0014
car-eval-4,SMOTE,SMOTEN.csv,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,0.9019 ± 0.0000,0.8214 ± 0.0000,0.7333 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,0.9871 ± 0.0000
car-eval-4,TabDDPM,TabDDPM.csv,0.4789 ± 0.0188,0.4770 ± 0.0164,0.4328 ± 0.0179,0.5189 ± 0.0184,0.6000 ± 0.0373,0.4533 ± 0.2626,-0.0455 ± 0.0327,0.4369 ± 0.0147,0.4086 ± 0.0168,0.4579 ± 0.0158,0.4640 ± 0.0317,0.4284 ± 0.0216,0.5983 ± 0.0122
car-eval-4,TVAE,TVAE.csv,0.9996 ± 0.0006,0.9996 ± 0.0006,0.9995 ± 0.0006,0.9163 ± 0.0220,0.8464 ± 0.0379,0.8800 ± 0.0422,0.9991 ± 0.0011,1.0000 ± 0.0000,0.9995 ± 0.0011,0.9998 ± 0.0003,0.9995 ± 0.0011,1.0000 ± 0.0000,0.9846 ± 0.0007
churn,CTGAN,CTGAN.csv,0.9690 ± 0.0017,0.9673 ± 0.0018,0.9634 ± 0.0020,0.5755 ± 0.0312,0.4082 ± 0.0314,0.1148 ± 0.1172,0.9366 ± 0.0035,0.9890 ± 0.0005,0.9717 ± 0.0046,0.9790 ± 0.0009,0.9554 ± 0.0047,0.9872 ± 0.0007,0.8539 ± 0.0209
churn,GaussianCopula,GaussianCopula.csv,0.8927 ± 0.0000,0.8874 ± 0.0000,0.8695 ± 0.0000,0.5712 ± 0.0000,0.4150 ± 0.0000,0.7895 ± 0.0000,0.7801 ± 0.0000,0.9390 ± 0.0000,0.8910 ± 0.0000,0.9159 ± 0.0000,0.8505 ± 0.0000,0.9386 ± 0.0000,0.7081 ± 0.0000
churn,K-IPO,K-IPO.csv,0.9661 ± 0.0024,0.9653 ± 0.0021,0.9603 ± 0.0027,0.6292 ± 0.0144,0.4640 ± 0.0156,0.9095 ± 0.0263,0.9308 ± 0.0048,0.9895 ± 0.0013,0.9611 ± 0.0060,0.9778 ± 0.0018,0.9597 ± 0.0024,0.9903 ± 0.0014,0.9393 ± 0.0032
churn,SMOTE,SMOTENC.csv,0.9534 ± 0.0018,0.9528 ± 0.0017,0.9456 ± 0.0021,0.6097 ± 0.0113,0.4449 ± 0.0121,0.7810 ± 0.0317,0.9050 ± 0.0036,0.9847 ± 0.0009,0.9434 ± 0.0053,0.9690 ± 0.0012,0.9482 ± 0.0046,0.9866 ± 0.0009,0.9264 ± 0.0013
churn,TabDDPM,TabDDPM.csv,0.9661 ± 0.0050,0.9639 ± 0.0055,0.9599 ± 0.0061,0.5732 ± 0.0289,0.4061 ± 0.0291,0.0726 ± 0.1578,0.9310 ± 0.0103,0.9870 ± 0.0028,0.9723 ± 0.0063,0.9766 ± 0.0039,0.9480 ± 0.0097,0.9849 ± 0.0029,0.9200 ± 0.0115
churn,TVAE,TVAE.csv,0.9660 ± 0.0019,0.9645 ± 0.0016,0.9601 ± 0.0021,0.5756 ± 0.0187,0.4082 ± 0.0187,0.4684 ± 0.0181,0.9307 ± 0.0040,0.9878 ± 0.0004,0.9663 ± 0.0113,0.9769 ± 0.0010,0.9542 ± 0.0092,0.9859 ± 0.0007,0.9008 ± 0.0043
fried,CTGAN,CTGAN.csv,0.9335 ± 0.0122,0.9287 ± 0.0134,0.9201 ± 0.0153,0.6627 ± 0.0888,0.5143 ± 0.1010,0.3378 ± 0.1820,0.8643 ± 0.0248,0.9730 ± 0.0083,0.9461 ± 0.0126,0.9532 ± 0.0102,0.8958 ± 0.0233,0.9714 ± 0.0097,0.8203 ± 0.0363
fried,GaussianCopula,GaussianCopula.csv,0.8795 ± 0.0000,0.8681 ± 0.0000,0.8488 ± 0.0000,0.7578 ± 0.0000,0.6508 ± 0.0000,0.7778 ± 0.0000,0.7555 ± 0.0000,0.9341 ± 0.0000,0.9184 ± 0.0000,0.9068 ± 0.0000,0.7891 ± 0.0000,0.9308 ± 0.0000,0.7734 ± 0.0000
fried,K-IPO,K-IPO.csv,0.9759 ± 0.0041,0.9751 ± 0.0038,0.9719 ± 0.0047,0.8010 ± 0.0100,0.6746 ± 0.0135,0.9556 ± 0.0363,0.9509 ± 0.0084,0.9957 ± 0.0008,0.9745 ± 0.0083,0.9858 ± 0.0024,0.9693 ± 0.0024,0.9963 ± 0.0006,0.9599 ± 0.0013
fried,SMOTE,SMOTEWB.csv,0.9706 ± 0.0011,0.9703 ± 0.0013,0.9658 ± 0.0013,0.7910 ± 0.0077,0.6619 ± 0.0107,0.9067 ± 0.0389,0.9401 ± 0.0023,0.9948 ± 0.0004,0.9636 ± 0.0034,0.9827 ± 0.0007,0.9681 ± 0.0038,0.9957 ± 0.0005,0.9589 ± 0.0013
fried,TabDDPM,TabDDPM.csv,0.8894 ± 0.0044,0.8839 ± 0.0045,0.8676 ± 0.0052,0.7682 ± 0.0080,0.6603 ± 0.0111,0.8133 ± 0.1064,0.7739 ± 0.0091,0.9475 ± 0.0027,0.8917 ± 0.0086,0.9184 ± 0.0034,0.8451 ± 0.0083,0.9461 ± 0.0030,0.7925 ± 0.0033
fried,TVAE,TVAE.csv,0.9743 ± 0.0014,0.9723 ± 0.0014,0.9696 ± 0.0016,0.7971 ± 0.0113,0.6699 ± 0.0164,0.5556 ± 0.0983,0.9476 ± 0.0028,0.9945 ± 0.0004,0.9810 ± 0.0029,0.9844 ± 0.0009,0.9586 ± 0.0030,0.9950 ± 0.0004,0.9441 ± 0.0016
